Time,Used
41772.105602,1975880232
41772.105649,671554576
41772.105695,757413752
41772.105741,908042880
41772.105787,1050435608
41772.105834,1162621880
41772.105880,1370577728
41772.105926,1459124096
41772.105973,1523392760
41772.106019,1578290448
41772.106065,1633500368
41772.106111,1695744944
41772.106158,1846006624
41772.106204,1929517488
41772.106250,747589376
41772.106297,834368600
41772.106343,894825224
41772.106389,970037352
41772.106436,1030414504
41772.106482,1147182832
41772.106528,1276093088
41772.106574,1457290624
41772.106621,1680264200
41772.106667,1753932704
41772.106713,1800856536
41772.106760,1852287432
41772.106806,1913768608
41772.106852,1977447048
41772.106899,2044106464
41772.106945,749949664
41772.106991,1045447632
41772.107037,1118758120
41772.107084,1186759840
41772.107130,1248183712
41772.107176,1370498736
41772.107223,1488656592
41772.107269,1604917448
41772.107315,1674062384
41772.107362,1855550776
41772.107408,2008119928
41772.107454,726793504
41772.107500,790793336
41772.107547,848682440
41772.107593,911087936
41772.107639,1020702272
41772.107686,1092651288
41772.107732,1267373888
41772.107778,1349399672
41772.107825,1572910328
41772.107871,1807963528
41772.107917,1945085632
41772.107963,2058254936
41772.108010,773811336
41772.108056,1182247656
41772.108102,1562421136
41772.108149,1615284456
41772.108195,1674594360
41772.108241,1794377576
41772.108287,1917080912
41772.108334,2019242088
41772.108380,740268024
41772.108426,806298112
41772.108473,990066320
41772.108519,1050776704
41772.108565,1175757864
41772.108611,1288638984
41772.108658,1488384528
41772.108704,1594388840
41772.108750,1656270264
41772.108797,1722128008
41772.108843,1887507536
41772.108889,1940706072
41772.108936,1994508248
41772.108982,2062819048
41772.109028,769508208
41772.109075,925525192
41772.109121,1027207600
41772.109167,1099194456
41772.109214,1268715176
41772.109260,1394140896
41772.109306,1509549520
41772.109352,1620879056
41772.109399,1695798672
41772.109445,1756325432
41772.109491,1894096520
41772.109538,2038756256
41772.109584,785152776
41772.109630,845308792
41772.109676,918542504
41772.109723,1013370288
41772.109769,1087949272
41772.109815,1153200792
41772.109862,1235976552
41772.109908,1361022896
41772.109954,1632073408
41772.110001,1749894208
41772.110047,1873358792
41772.110093,1948806008
41772.110139,2005939560
41772.110186,2072823184
41772.110232,747951808
41772.110278,837951304
41772.110325,1036860208
41772.110371,1167386360
41772.110417,1268639032
41772.110464,1347528544
41772.110510,1406513888
41772.110556,1475603416
41772.110602,1542925240
41772.110649,1723638032
41772.110695,1883781064
41772.110741,2060085784
41772.110788,835722048
41772.110834,894244944
41772.110880,962795456
41772.110926,1021626976
41772.110973,1077385520
41772.111019,1212033560
41772.111065,1319553464
41772.111112,1454904912
41772.111158,1599435424
41772.111204,1711361504
41772.111251,1788124136
41772.111297,1938698312
41772.111343,2055842760
41772.111390,951931880
41772.111436,1072756432
41772.111482,1169591560
41772.111529,1249662648
41772.111575,1735060472
41772.111621,2076149824
41772.111667,2134776168
41772.111714,815603160
41772.111760,979700248
41772.111806,1067697864
41772.111853,1127052480
41772.111899,1187295560
41772.111945,1269513832
41772.111992,1395222536
41772.112038,1572583784
41772.112084,1685249288
41772.112131,1904545240
41772.112177,1972204832
41772.112223,2028018776
41772.112269,2087267792
41772.112316,756994088
41772.112362,813535696
41772.112408,924190632
41772.112455,1066368888
41772.112501,1272431408
41772.112547,1336934432
41772.112594,1401411320
41772.112640,1483514960
41772.112686,1553625360
41772.112733,1672392032
41772.112779,1784518704
41772.112825,1940320232
41772.112871,818296824
41772.112918,889611656
41772.112964,944498304
41772.113010,1011392464
41772.113057,1066579640
41772.113103,1129371224
41772.113149,1203296888
41772.113196,1313608808
41772.113242,1515633416
